Temperature 1,Temperature 2,Temperature 3,Temperature 4,Pressure,Speed,Feed Rate,Time interval,Polymer diameter,Image address
253.59403375004894,263.6813118422856,251.87523812203642,279.5467405262793,921.5882076697096,0,0,reload,-1,myData/image/pi5.jpg
253.59403375004894,263.6813118422856,251.87523812203642,279.5467405262793,921.5882076697096,0,0,reload,-1,myData/image/pi5.jpg
253.59403375004894,263.6813118422856,251.87523812203642,279.5467405262793,921.5882076697096,0,0,reload,-1,myData/image/pi6.jpg
253.59403375004894,263.6813118422856,251.87523812203642,279.5467405262793,921.5882076697096,0,0,reload,-1,myData/image/pi6.jpg
259.72236792766194,278.0192219436005,260.0190428216914,256.4725693552843,171.7119576944553,0,0,reload,-1,myData/image/pi6.jpg
259.72236792766194,278.0192219436005,260.0190428216914,256.4725693552843,171.7119576944553,0,0,reload,-1,myData/image/pi6.jpg
259.72236792766194,278.0192219436005,260.0190428216914,256.4725693552843,171.7119576944553,0,0,reload,-1,myData/image/pi7.jpg
259.72236792766194,278.0192219436005,260.0190428216914,256.4725693552843,171.7119576944553,0,0,reload,-1,myData/image/pi7.jpg
259.72236792766194,278.0192219436005,260.0190428216914,256.4725693552843,171.7119576944553,0,0,reload,-1,myData/image/pi7.jpg
259.72236792766194,278.0192219436005,260.0190428216914,256.4725693552843,171.7119576944553,0,0,reload,-1,myData/image/pi7.jpg
259.72236792766194,278.0192219436005,260.0190428216914,256.4725693552843,171.7119576944553,0,0,reload,-1,myData/image/pi7.jpg
259.72236792766194,278.0192219436005,260.0190428216914,256.4725693552843,171.7119576944553,0,0,reload,-1,myData/image/pi7.jpg
268.63715463871665,263.1976705372648,266.99967794825545,261.39656643973825,842.2933553574281,0,0,reload,-1,myData/image/pi7.jpg
268.63715463871665,263.1976705372648,266.99967794825545,261.39656643973825,842.2933553574281,0,0,reload,-1,myData/image/pi8.jpg
268.63715463871665,263.1976705372648,266.99967794825545,261.39656643973825,842.2933553574281,0,0,reload,-1,myData/image/pi8.jpg
268.63715463871665,263.1976705372648,266.99967794825545,261.39656643973825,842.2933553574281,0,0,reload,-1,myData/image/pi8.jpg
268.63715463871665,263.1976705372648,266.99967794825545,261.39656643973825,842.2933553574281,0,0,reload,-1,myData/image/pi8.jpg
268.63715463871665,263.1976705372648,266.99967794825545,261.39656643973825,842.2933553574281,0,0,reload,-1,myData/image/pi8.jpg
268.63715463871665,263.1976705372648,266.99967794825545,261.39656643973825,842.2933553574281,0,0,reload,-1,myData/image/pi8.jpg
268.63715463871665,263.1976705372648,266.99967794825545,261.39656643973825,842.2933553574281,0,0,reload,-1,myData/image/pi8.jpg
268.63715463871665,263.1976705372648,266.99967794825545,261.39656643973825,842.2933553574281,0,0,reload,-1,myData/image/pi8.jpg
268.63715463871665,263.1976705372648,266.99967794825545,261.39656643973825,842.2933553574281,0,0,reload,-1,myData/image/pi9.jpg
268.63715463871665,263.1976705372648,266.99967794825545,261.39656643973825,842.2933553574281,0,0,reload,-1,myData/image/pi9.jpg
259.2580853217528,257.94234605128077,270.4823955119305,274.1352434285243,815.6351490024445,0,0,reload,-1,myData/image/pi9.jpg
259.2580853217528,257.94234605128077,270.4823955119305,274.1352434285243,815.6351490024445,0,0,reload,-1,myData/image/pi9.jpg
259.2580853217528,257.94234605128077,270.4823955119305,274.1352434285243,815.6351490024445,0,0,reload,-1,myData/image/pi9.jpg
259.2580853217528,257.94234605128077,270.4823955119305,274.1352434285243,815.6351490024445,0,0,reload,-1,myData/image/pi9.jpg
259.2580853217528,257.94234605128077,270.4823955119305,274.1352434285243,815.6351490024445,0,0,reload,-1,myData/image/pi9.jpg
259.2580853217528,257.94234605128077,270.4823955119305,274.1352434285243,815.6351490024445,0,0,reload,-1,myData/image/pi9.jpg
259.2580853217528,257.94234605128077,270.4823955119305,274.1352434285243,815.6351490024445,0,0,reload,-1,myData/image/pi10.jpg
259.2580853217528,257.94234605128077,270.4823955119305,274.1352434285243,815.6351490024445,0,0,reload,-1,myData/image/pi10.jpg
259.2580853217528,257.94234605128077,270.4823955119305,274.1352434285243,815.6351490024445,0,0,reload,-1,myData/image/pi10.jpg
259.2580853217528,257.94234605128077,270.4823955119305,274.1352434285243,815.6351490024445,0,0,reload,-1,myData/image/pi10.jpg
256.5774084937664,250.8839564091506,258.4586476959013,251.21736532527808,121.36847270634097,0,0,reload,-1,myData/image/pi10.jpg
256.5774084937664,250.8839564091506,258.4586476959013,251.21736532527808,121.36847270634097,0,0,reload,-1,myData/image/pi10.jpg
256.5774084937664,250.8839564091506,258.4586476959013,251.21736532527808,121.36847270634097,0,0,reload,-1,myData/image/pi10.jpg
256.5774084937664,250.8839564091506,258.4586476959013,251.21736532527808,121.36847270634097,0,0,reload,-1,myData/image/pi10.jpg
256.5774084937664,250.8839564091506,258.4586476959013,251.21736532527808,121.36847270634097,0,0,reload,-1,myData/image/pi11.jpg
256.5774084937664,250.8839564091506,258.4586476959013,251.21736532527808,121.36847270634097,0,0,reload,-1,myData/image/pi11.jpg
